ID,TITLE,ABSTRACT,Status,YEAR,AUTHORS,URL,Publisher,Facet: Topic
,[Copyright notice],The following topics are dealt with: cloud computing; admission control; analytics cloud platform; economic models; collaborative cloud computing; cloud performance management; cloud resource management; infrastructure-as-a-service clouds; cloud resource provisioning; virtual server image management; cloud privacy; cloud application deployment; cloud exploitation analysis; cloud SLA management; mobile cloud; cloud application security; cloud data storage; cloud service selection; cloud resource optimization; cloud cost models; cloud architecture; and cloud energy.,,2012,,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6253474,IEEE,SLA and Cloud
,CLOUD 2012: 2012 IEEE 5th International Conference on Cloud Computing [Cover art],The following topics are dealt with: cloud computing; admission control; analytics cloud platform; economic models; collaborative cloud computing; cloud performance management; cloud resource management; infrastructure-as-a-service clouds; cloud resource provisioning; virtual server image management; cloud privacy; cloud application deployment; cloud exploitation analysis; cloud SLA management; mobile cloud; cloud application security; cloud data storage; cloud service selection; cloud resource optimization; cloud cost models; cloud architecture; and cloud energy.,,2012,,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6253480,IEEE,SLA and Cloud
,Foreword: Quality in cloud computing,"Summary form only given. Public Cloud providers encourage proprietary lock-in; the internal Cloud architectures are not yet mature; the utilisation of a SOA (Service Oriented Architecture) paradigm in a Cloud environment is not fully worked out with many variants and appropriate programming languages providing declarative specification of intent while allowing subtle control of dynamic resource allocation are lacking. Above all there is the challenge of quality: quality of the service provision (quality of service, service level agreement management); quality in modelling business requirements in a Cloud environment; quality in the languages used to express those requirements and to execute them; quality in the services in both what they provide and how they provide it; quality in service composition including dynamicity; quality in scheduling execution including partitioning and parallelism; quality in monitoring execution and triggering actions to maintain quality of service. There is also the quality of business continuity provision and the quality of virtualisation - including seamless execution transfers to assure timeliness and the quality of the Cloud infrastructure and platform provision in terms of ""green ICT."" Unlike other areas of ICT there is not yet for Clouds a quality of conformance since there is no agreed standard (unlike, for example, WWW).",,2012,,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6511826,IEEE,SLA and Cloud
,Title Page i,The following topics are dealt with: cloud computing; data processing system; data storage; virtual machine; scheduling; load balancing; cloud resource management; SLA; market place; scientific application; intelligent technique; autonomic clouds architecture; cloud service security; and quality management.,,2011,,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6123462,IEEE,SLA and Cloud
,Copyright Page,The following topics are dealt with: cloud analysis; business intelligence; data distribution; cloud security; cloud monitoring; workload management; data scalability; energy efficiency; VM management; virtual machines; data integrity; SLA management; streaming computing; cloud scheduling; performance modeling; cloud provenance; cloud management; elastic resource provisioning; engineering cloud application; data storage management; and work in progress.,,2011,,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6008660,IEEE,SLA and Cloud
,[Cover art],The following topics are dealt with: server-side streaming processing; DRM; grid computing; service-oriented communities; service-oriented architecture; Web service security; automating composite SLA management; QOS-aware service composition; Web service anonymity; object-oriented design; Wide World Web; Web browser; model-driven service management; business processes engineering; unified service description language; secure cloud bursting; user interfaces and text analytics.,,2010,,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=5693272,IEEE,SLA and Cloud
,A Structural and Stochastic Modelling Philosophy for Systems Integrity,,,,"Brian Monahan, Brian Monahan, David Pym David Pym",http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.93.718\&rank=1,,SLA and DI
,Modelling carbon budget of Mediterranean forests using ground and remote sensing measurements,"The current paper illustrates a method to operationally apply the model FOREST-BGC for the estimation of forest carbon fluxes in Mediterranean environments. The work was carried out in a pine forest stand within the coastal area of San Rossore (Central Italy) using both conventionally collected and remotely sensed data. The calibration of the model was performed using estimates of net primary productivity (NPP) derived from the carbon accumulated in the forest stems during the last four decades. Such estimates were obtained by transforming dendrochronological measurements collected in the stand into annual increments of woody biomass and carbon matter. Next, the model performance was validated against values of net ecosystem exchange (NEE) and gross primary productivity (GPP) collected during four years (1999–2002) by an eddy covariance flux tower. A method based on deriving fraction of photosynthetically active radiation (FAPAR) from remotely sensed normalised difference vegetation index (NDVI) data was also calibrated and validated in order to more directly assess forest GPP. The results achieved indicate that the multi-year calibration against past carbon accumulation was essential in properly configuring the model in terms of respiration and allocation functions. Due to the importance of these functions, only the calibrated model was in fact able to correctly simulate the forest carbon fluxes, giving monthly estimates of both NEE and GPP quite close to those measured by the flux tower. These estimates were further improved by the proper integration of remotely sensed GPP evaluation and model carbon partitioning, which could be particularly useful for operational monitoring applications on a regional scale.",,2005,"Chiesi, M.; Maselli, F.; Bindi, M.; Fibbi, L.; Cherubini, P.; Arlotta, E.; Tirone, G.; Matteucci, G. & Seufert, G.",http://www.sciencedirect.com/science/article/pii/S0168192305002108,,SLA and DI
,"www.ijorcs.org, A Unit of White Globe Publications doi: 10.7815/ijorcs.25.2012.044 A THRESHOLD SECURE DATA SHARING SCHEME FOR FEDERATED CLOUDS",,,,"K. Venkataramana, Dr. M. Padmavathamma",http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.391.3979\&rank=2,,SLA and DI
,SLA-based Data Integration on Database Grids,"The consequences of release either due to biological and toxin or from any chemical may be worst if planning is not in place to handle the situation. Release either from Biological agent or Chemical agent is always disastrous in nature. This paper covers aspect of accidental release of chemical considering some common data layers which could be used for planning of Biological agent release. The EPA risk management program (RMP, Rule 112r) requires hazard assessment and emergency response programs. To assure that you have adequate resources and that plans are well organized for any contingency, you need to plan for emergency response. Should such an accident occur, you need real time data to guide the response activities [1]. An example given in this paper helps planner to understand how dispersion Modelling can help to guide response activities. The CHARM® (Complex Hazardous Air Release Model) software is an application that calculates the movement and concentration of airborne plumes from released chemicals; thermal radiation impacts from fires; and overpressures from mechanical and vapour cloud explosions [2]. It is worth mentioning that Hazard assessment could be done in cost effective manner using data mostly available free of cost like satellite images, Digital Elevation Model, Digital Surface Model, Chemical properties of released chemicals, Surface Roughness data and Meteorological parameters.",,2007,"Nie, Tiezheng; Wang, Guangqi; Shen, Derong; Li, Meifang & Yu, Ge",http://dl.acm.org/citation.cfm?id=1299136.1299875,IEEE,SLA and DI
,Data integration and chemical modeling,"A simple yet powerful programming tool enabling in silico experimentation, end-to-end data management through web services as well as use of grid and cloud processing power is scientific workflows. This technology is receiving considerable interest in recent years primarily due to its ability to promote and support scientific collaboration among large distributed research teams. The paper reviews the Scientific Workflows Management Systems (SWMS) field and investigates in detail popular open source workflow systems used commonly in life sciences informatics. Emphasis is placed on features which make these systems attractive for scientific use, e.g. user friendliness, use of distributed resources, reusability, provenance, collaboration, data integration, etc. Our conclusions indicate that although SWMS, including open source ones, have several open issues, their unique features and strong momentum clearly suggest that it is only a matter of time before they are adopted in even more scientific fields.",,2014,"Abdullah, S.",http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6778127,IEEE,DI and Cloud
,Open source workflow systems in life sciences informatics,"Implementations of map-reduce are being used to perform many operations on very large data. We examine strategies for joining several relations in the map-reduce environment. Our new approach begins by identifying the ""map-key,"" the set of attributes that identify the Reduce process to which a Map process must send a particular tuple. Each attribute of the map-key gets a ""share,"" which is the number of buckets into which its values are hashed, to form a component of the identifier of a Reduce process. Relations have their tuples replicated in limited fashion, the degree of replication depending on the shares for those map-key attributes that are missing from their schema. We study the problem of optimizing the shares, given a fixed number of Reduce processes. An algorithm for detecting and fixing problems where a variable is mistakenly included in the map-key is given. Then, we consider two important special cases: chain joins and star joins. In each case we are able to determine the map-key and determine the shares that yield the least replication.",,2012,"Achilleos, K. G.; Kannas, C. C.; Nicolaou, C. A.; Pattichis, C. S. & Promponas, V. J.",http://dl.acm.org/citation.cfm?id=2457122.2457139 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6399732,IEEE,DI and Cloud
,Optimizing Multiway Joins in a Map-Reduce Environment,,,2012,"Afrati, Foto N. & Ullman, Jeffrey D.",http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=5871625,,DI and Cloud
,Security Through Multiple Unrelated Clouds in Cloud Computing,,,,"Akhila, V.; Mahajan, Nikita; Sriram, B. V. & Srinivasu, Dr. N.",http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.301.4734,,DI and Cloud
,An Approach Secret Sharing Algorithm in Cloud Computing Security over Single to Multi Clouds,"Managing large image collections has become an important issue for information companies and institutions. We present a cloud computing service and its application for the storage and analysis of very-large images. This service has been implemented using multiple distributed and collaborative agents. For image storage and analysis, a regionoriented data structure is utilized, which allows storing and describing image regions using low-level descriptors. Different types of structural relationships between regions are also taken into account. A distinctive goal of this work is that data operations are adapted for working in a distributed mode. This allows that an input image can be divided into different sub-images that can be stored and processed separately by different agents in the system, facilitating processing very-large images in a parallel manner. A key aspect to decrease processing time for parallelized tasks is the use of an appropriate load balancer to distribute and assign tasks to agents with less workload.",,,"Alam, Md Kausar & K, Sharmila Banu",http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.300.3557,,DI and Cloud
,On distributing load in cloud computing: A real application for very-large image datasets,,,2010,"Alonso-Calvo, Ra\'{u}l; Crespo, Jose; Garc’ia-Remesal, Miguel; Anguita, Alberto & Maojo, Victor",http://www.sciencedirect.com/science/article/pii/S1877050910003017,,DI and Cloud
,ASTERIX,"Database-as-a-service (DAAS) is a new model for data management, where a service provider offers customers software management functionalities as well as the use of expensive hardware. This service enables data integration and access on a large scale in cloud computing infrastructures. Addressing data privacy in DAAS is considered a significant issue for any organizational database. Due to the fact that data will be shared with a third party, an un-trusted server is dangerous and unsafe for the user. This paper proposes the architecture of a new model appropriate for NetDB2 architecture, known as NetDB2 Multi-Shares (NetDB2-MS). It is based on multi-service providers and a secret sharing algorithm instead of encryption, which is used by the existing NetDB2 service. The evaluation is done through simulations. It shows a significant improvement in performance for data storage and retrieval for various query types.",,2012,"Alsubaiee, Sattam; Behm, Alexander; Grover, Raman; Vernica, Rares; Borkar, Vinayak; Carey, Michael J. & Li, Chen",http://dl.acm.org/citation.cfm?id=2331801.2331803,ACM Press,DI and Cloud
,Using Multi Shares for Ensuring Privacy in Database-as-a-Service,,,2011,"ALzain, Mohammed Abdullatif & Pardede, E",http://dl.acm.org/citation.cfm?id=1955602.1956040 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=5719004,IEEE,DI and Cloud
,"Crowds, clouds, and algorithms",,,2010,"Amer-Yahia, Sihem; Doan, AnHai; Kleinberg, Jon; Koudas, Nick & Franklin, Michael",http://dl.acm.org/citation.cfm?id=1807167.1807341,ACM Press,DI and Cloud
,D-Mash: A Framework for Privacy-Preserving Data-as-a-Service Mashups,"Scalability and high availability are essential features when considering security as a foundation of cloud computing. However, existing centralized access control mechanisms are unable to satisfy these requirements. Here we propose a decentralized access control mechanism based on authorization certificates. We describe a method to decentralize the Certificate Revocation List (CRL) and a method to improve access control performance. We show evaluation results for the availability and scalability of our proposed mechanism through simulation and prototype implementation.",,2014,"Arafati, Mahtab; Dagher, Gaby G.; Fung, Benjamin C. M. & Hung, Patrick C. K.",http://dl.acm.org/citation.cfm?id=2679108.2679118,IEEE Computer Society,DI and Cloud
,A decentralized access control mechanism using authorization certificate for distributed file systems,"Modern cloud systems are geo-replicated to improve application latency and availability. Transactional consistency is essential for application developers; however, the corresponding concurrency control and commitment protocols are costly in a geo-replicated setting. To minimize this cost, we identify the following essential scalability properties: (i) only replicas updated by a transaction T make steps to execute T; (ii) a read-only transaction never waits for concurrent transactions and always commits; (iii) a transaction may read object versions committed after it started; and (iv) two transactions synchronize with each other only if their writes conflict. We present Non-Monotonic Snapshot Isolation (NMSI), the first strong consistency criterion to allow implementations with all four properties. We also present a practical implementation of NMSI called Jessy, which we compare experimentally against a number of well-known criteria. Our measurements show that the latency and throughput of NMSI are comparable to the weakest criterion, read-committed, and between two to fourteen times faster than well-known strong consistencies.",,2011,"Arakawa, J. & Sasada, K.",,,DI and Cloud
,Non-monotonic Snapshot Isolation: Scalable and Strong Consistency for Geo-replicated Transactional Systems,"This paper describes the design and architecture of a cloud-based relational database system. The system's core component is a storage engine, which is responsible for mapping the logical schema, based on relations, to a physical storage, based on a distributed key-value data store. The proposed stratified architecture provides physical data independence, by allowing different approaches for data mapping and partitioning, while the distributed data store is responsible for providing scalability, availability, data replication and ACID properties. A prototype of the system, named Phoenix, has been developed based on the proposed architecture using a transactional key-value store. Experimental studies on a cluster of commodity servers show that Phoenix preserves the desired properties of key-value stores, while providing relational database functionality at a very low overhead.",,2013,"Ardekani, Masoud Saeida; Sutra, Pierre & Shapiro, Marc",http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6656272 http://dl.acm.org/citation.cfm?id=2553409.2553433,IEEE,DI and Cloud
,Phoenix: A Relational Storage Component for the Cloud,,,2011,"Arnaut, Davi E.M.; Schroeder, Rebeca & Hara, Carmem S.",http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6008771 http://dl.acm.org/citation.cfm?id=2055437.2055587,IEEE,DI and Cloud
,Visual analytics for open government data,,,2013,"Artigas, Francisco & Ae Chun, Soon",http://dl.acm.org/citation.cfm?id=2479724.2479729,ACM Press,DI and Cloud
,Integrity Verification In Multiple Cloud Storage Using Cooperative PDP Method,"We present a cloud-based approach for the design of interoperable electronic health record (EHR) systems. Cloud computing environments provide several benefits to all the stakeholders in the healthcare ecosystem (patients, providers, payers, etc.). Lack of data interoperability standards and solutions has been a major obstacle in the exchange of healthcare data between different stakeholders. We propose an EHR system - cloud health information systems technology architecture (CHISTAR) that achieves semantic interoperability through the use of a generic design methodology which uses a reference model that defines a general purpose set of data structures and an archetype model that defines the clinical data attributes. CHISTAR application components are designed using the cloud component model approach that comprises of loosely coupled components that communicate asynchronously. In this paper, we describe the high-level design of CHISTAR and the approaches for semantic interoperability, data integration, and security.",,,unknown Authors,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.429.2377,,DI and Cloud
,A cloud-based approach for interoperable electronic health records (EHRs).,"This paper describes the planned contribution of the project Data Mining Meteo (DMM) to the research of parametrized models and methods for detection and prediction of significant meteorological phenomena, especially fog and low cloud cover. The project is expected to cover methods for integration of distributed meteorological data necessary for running the prediction models, training models and then mining the data in order to be able to efficiently and quickly predict even randomly occurring phenomena. We present the methods and technologies we will use for integration of the input data, distributed on different vendors’ servers. The meteorological detection and prediction methods are based on statistical and climatological methods combined with knowledge discovery — data mining of meteorological data (SYNOP, METAR messages, weather radar imagery, “raw” meteorological data from stations, satellite imagery and results of common meteorological prediction models).",,2013,"Bahga, Arshdeep & Madisetti, Vijay K",http://www.ncbi.nlm.nih.gov/pubmed/25055368,,DI and Cloud
,Data mining and integration for predicting significant meteorological phenomena,"Passive microwave sensors are available from operational polar orbiting platforms such as the Special Sensor Microwave/Imager (SSM/I) and the Special Sensor Water Vapor Sounder (SSM/T2) onboard the polar orbiting Defense Meteorological Satellite Program (DMSP). The sounding channels of these instruments are located between 19 and 183 GHz and provide valuable information about the atmospheric components of the hydrological cycle, i.e. water vapor, liquid water, ice and rainfall distributions. The potential of microwave measurements is demonstrated by short-term/regional applications for severe weather observations as well as longterm/global applications for climate monitoring and climate model validation. Future developments will focus on rather synergistic data integration of passive microwave and visible/infrared as well as spaceborne radar measurements to further improve the retrieval of cloud microphysical structures without lacking spatial and temporal resolution",,2010,"Bartok, Juraj; Habala, Ondrej; Bednar, Peter; Gazak, Martin & Hluch\'{y}, Ladislav",http://www.sciencedirect.com/science/article/pii/S1877050910000074,,DI and Cloud
,Passive microwave remote sensing of atmospheric parameters,"The VPH-Share project objective is to store, share, integrate, and link data, information, knowledge, and wisdom about the physiopathology of the human body to enable their reuse within the virtual physiological human community. Therefore, the projects develops a modular and generic data management platform on top of a distributed Cloud infrastructure. The data management platform enables the ontological annotation of VPH-relevant datasets, their provisioning in the Cloud, and supports different data integration approaches. In this paper we present the architecture and implementation of this VPH-Share Cloud and data management platform and we go into detail about two different data integration approaches: relational data mediation, which has been realized on top of a distributed data mediation engine, and semantic data integration, which is supported on the basis of the SPARQL federation extension. Both approaches are examined on top of a project-specific scenario executed in the VPH-Share Cloud environment.",,1995,"Bauer, P.",http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=521083,IEEE,DI and Cloud
,A Cloud-Based Framework for Collaborative Data Management in the VPH-Share Project,"The European VPH-Share project develops a comprehensive service framework with the objective of sharing clinical data, information, models and workflows focusing on the analysis of the human physiopathology within the Virtual Physiological Human (VPH) community. The project envisions an extensive and dynamic data infrastructure built on top of a secure hybrid Cloud environment. This paper presents the data service provisioning framework that builds up the data infrastructure, focusing on the deployment of data integration services in the hybrid Cloud, the associated mechanism for securing access to patient-specific datasets, and performance results for different deployment scenarios relevant within the scope of the project.",,2013,"Benkner, S.; Borckholder, C.; Bubak, M.; Kaniovskyi, Y.; Knight, R.; Koehler, M.; Koulouzis, S.; Nowakowski, P. & Wood, S.",http://dl.acm.org/citation.cfm?id=2497619.2497939 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6550559,IEEE,DI and Cloud
,A Secure and Flexible Data Infrastructure for the VPH-Share Community,"With the advent of distributed computing, particularly since the emergence of Grids, Clouds and other Service Oriented Computing paradigms, the querying of huge datasets of distributed databases or data repositories on a global scale has become a challenging research question. Currently, beside various other topics, two major concerns in this research area have to be addressed: data access \& integration and query execution planning. Our research effort addresses the second issue, namely the query optimization of distributed database queries. Hereby we consider a variety of different heterogeneous and homogeneous infrastructures, parallel algorithms, and huge datasets, which span across several virtual organizations (VOs) with usually no centralized authority. This paper introduces a novel heuristic framework for the optimization of query execution plans (QEP) on a world-wide scale. Our work is based on a multi-staged blackboard mechanism to determine which available data, resources and operations have to be considered to perform a query optimally. Moreover, an evaluation scenario proves our findings that even small changes in the selection of e.g. sort operations for a query execution tree (QET) lead to significant performance improvements.",,2013,"Benkner, Siegfried; Kaniovskyi, Yuriy; Borckholder, Chris; Bubak, Marian; Nowakowski, Piotr; Lopez, Dario Ruiz & Wood, Steven",http://dl.acm.org/citation.cfm?id=2624949.2625088 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6904259,IEEE,DI and Cloud
,A Multi-Staged Blackboard Query Optimization Framework for World-Spanning Distributed Database Resources,"Cost and scalability benefits of Cloud storage services are apparent. However, selecting a single storage service provider limits availability and scalability to the selected provider and may further cause a vendor lock-in effect. In this paper, we present MetaStorage, a federated Cloud storage system that can integrate diverse Cloud storage providers. MetaStorage is a highly available and scalable distributed hash table that replicates data on top of diverse storage services. MetaStorage reuses mechanisms from Amazon's Dynamo for cross-provider replication and hence introduces a novel approach to manage consistency-latency tradeoffs by extending the traditional quorum (N,R,W) configurations to an (N\_P,R,W) scheme that includes different providers as an additional dimension. With MetaStorage, new means to control consistency-latency tradeoffs are introduced.",,2011,"Beran, Peter Paul; Mach, Werner; Schikuta, Erich & Vigne, Ralph",http://www.sciencedirect.com/science/article/pii/S1877050911000755,,DI and Cloud
,MetaStorage: A Federated Cloud Storage System to Manage Consistency-Latency Tradeoffs,"Compared with the traditional power grid, Smart Grid can improve the reliability and availability of the entire grid, while it continues to reduce the costs and improve the efficiency. It is getting more and more attentions, the characteristics of integration and interaction require the exchanging and sharing of the information, as well as the seamless connection of various parts. The Ontology as a shared conceptual model and formal specification provides a good way to resolve the semantic heterogeneity problem. By the research of past means of heterogeneous data integration, combined with the current status of the grid, a model of heterogeneous data integration is proposed to adapt the future Smart Grid. Based on XML and Ontology, combined with Cloud services, This model provides a good method to solve the heterogeneous problem from the syntax and sematics. Finally, SCADA(Supervisory Control and Data Acquisition) data is used to validate the model.",,2011,"Bermbach, David; Klems, Markus; Tai, Stefan & Menzel, Michael",http://dl.acm.org/citation.cfm?id=2055437.2055544 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6008742,IEEE,DI and Cloud
,Research on heterogeneous data integration for Smart Grid,"This paper presents an integrated framework, the Vienna Cloud Environment, for building a generic, service-based data infrastructure for biomedical data integration needs. The infrastructure consists of diverse service types, which in an example scenario are used to expose and link several open drug and clinical trials data sources under a unified interface. As a result, the biomedical research community is offered a convenient way to query parameters related to drugs, for example generic compound names or brand names or their molecular targets, and associate these to their effective utilization in clinical trials. We develop and discuss several approaches on setting up such integration infrastructure and discuss implications of this framework exemplarily on an experimental evaluation of the drug-trial integration application. Practical recommendations and theoretical considerations inspired by the implementation and experimental evaluation of the drug-trials integration application are presented.",,2010,Bin Lu & Wei Song,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=5564620,IEEE,DI and Cloud
,"A Generic, Service-based Data Integration Framework Applied to Linking Drugs \& Clinical Trials",,,2013,"Borckholder, Chris; Heinzel, Andreas; Kaniovskyi, Yuriy; Benkner, Siegfried; Lukas, Arno & Mayer, Bernd",http://www.sciencedirect.com/science/article/pii/S187705091301140X,,DI and Cloud
,"Advancing Democracy, Government and Governance",,,2012,"Breil, Alexander; Hitzelberger, Patrik; Da Silva Carvalho, Paulo & Feltz, Fernand",http://dl.acm.org/citation.cfm?id=2402189.2402221,Springer Berlin Heidelberg,DI and Cloud
,Pentaho Kettle Solutions: Building Open Source ETL Solutions with Pentaho Data Integration,,,2010,"Casters, Matt; Bouman, Roland & van Dongen, Jos",http://dl.acm.org/citation.cfm?id=1941124,Wiley Publishing,DI and Cloud
,Decentralized Edge Clouds,"The agriculture sector is a unique sector due to its strategic importance for both citizens (consumers) and economy (regional and global), which ideally should make the whole sector a network of interacting organizations. Rural areas are of particular importance with respect to the agro-food sector and should be specifically addressed within this scope. The FOODIE project aims at building an open and interoperable agricultural specialized platform hub on the cloud for the management of spatial and non-spatial data relevant for farming production; for discovery of spatial and non-spatial agriculture related data from heterogeneous sources; integration of existing and valuable European open datasets related to agriculture; data publication and data linking of external agriculture data sources contributed by different public and private stakeholders allowing to provide specific and high-value applications and services for the support in the planning and decision-making processes of different stakeholders groups related to the agricultural and environmental domains.",,2013,"Chandra, Abhishek; Weissman, Jon & Heintz, Benjamin",http://dl.acm.org/citation.cfm?id=2548529.2548539,IEEE Educational Activities Department,DI and Cloud
,FOODIE — Open data for agriculture,"Data integration system (DIS) is becoming paramount when Cloud/Grid applications need to integrate and analyze data from geographically distributed data sources. DIS gathers data from multiple remote sources, integrates and analyzes the data to obtain a query result. As Clouds/Grids are distributed over wide-area networks, communication cost usually dominates overall query response time. Therefore we can expect that query performance can be improved by minimizing communication cost. In our method, DIS uses a data flow style query execution model. Each query plan is mapped to a group of $\mu$Engines, each of which is a program corresponding to a particular operator. Thus, multiple sub-queries from concurrent queries are able to share $\mu$Engines. We reconstruct these sub-queries to exploit overlapping data among them. As a result, all the sub-queries can obtain their results, and overall communication overhead can be reduced. Experimental results show that, when DIS runs a group of parameterized queries, our reconstructing algorithm can reduce the average query completion time by 32–48\%; when DIS runs a group of non-parameterized queries, the average query completion time of queries can be reduced by 25–35\%.",,2014,"Charvat, Karel; Esbri, Miguel Angel; Mayer, Walter; Campos, Antonio; Palma, Raul & Krivanek, Zbynek",http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6880647,IEEE,DI and Cloud
,Optimization of sub-query processing in distributed data integration systems,"This paper presents a novel information sharing framework using Service-Oriented Database System (SODB) for service registry and repository that facilitates data integration. A SODB is a database architecture composed with reusable services to support searching, querying, deleting, and storing data. As SODB is organized in a service-oriented manner, SODB can be easily changed or maintained by reusing different services. Thus, it can be used to share information in the cloud. The Information Sharing System (ISS) component of the SODB employs domain ontology to share data sources. The domain ontology utilizes mathematical equivalence relations to map data sources into appropriate domain ontology. It also facilitates dynamic query composition across data sources. This paper also presents the design, implementation, and performance evaluation of the ISS component. Our implementation is based on a real application, the Arizona Healthcare Cost Containment System (AHCCCS). This application demonstrates that the ISS can facilitate complex information integration. Finally, this paper presents the performance of the ISS using WAPT (Web Application Testing) for Microsoft Windows XP, and the response time consistently fall in between 0.1 to 0.15 second for each request.",,2011,"Chen, Gang; Wu, Yongwei; Liu, Jia; Yang, Guangwen & Zheng, Weimin",http://www.sciencedirect.com/science/article/pii/S1084804510001050 http://dl.acm.org/citation.cfm?id=1988082.1988316,Academic Press Ltd.,DI and Cloud
,Ontology-based Information Sharing in Service-Oriented Database Systems,,,2009,"Chow, TszYan; Tsai, Wei-Tek; Balasooriya, Janaka & Bai, Xiaoying",http://dl.acm.org/citation.cfm?id=1637860.1638035 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=5283943,IEEE,DI and Cloud
,Flexible and extensible generation and corruption of personal data,,,2013,"Christen, Peter & Vatsalan, Dinusha",http://dl.acm.org/citation.cfm?id=2505515.2507815,ACM Press,DI and Cloud
,Structure inference for linked data sources using clustering,"For scalable distributed database systems, weak consistency models are essential. Distributed databases, such as Google Spanner, scale to millions of nodes that replicate data across datacentres possibly located on different continents. At this scale, it is infeasible to maintain serialisability, which assumes that a global total order over committed transactions can be established. Instead, weaker consistency models, such as eventual consistency, causal consistency, sequential consistency and external consistency, are assumed. The problem is that operational models, such as labelled transition systems, tend to assume an interleaving semantics, which serialises transactions. To address this limitation, we provide an operational model that allows a weaker notion of consistency for a geographically distributed database inspired by Spanner. We reduce the timing guarantees provided by Spanner's TrueTime protocol to causal dependencies that are specified in a formal calculus.",,2013,"Christodoulou, Klitos; Paton, Norman W. & Fernandes, Alvaro A. A.",http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.309.951 http://dl.acm.org/citation.cfm?id=2457317.2457328,ACM Press,DI and Cloud
,Non-interleaving Operational Semantics for Geographically Replicated Databases,,,2013,"Ciobanu, Gabriel & Horne, Ross",http://dl.acm.org/citation.cfm?id=2624948.2624973 http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6821181,IEEE,DI and Cloud
,Proceedings of the 10th ACM/IFIP/USENIX International Conference on Middleware,"With the advent of 4G and other long-term evolution (LTE) wireless networks, the traditional boundaries of patient record propagation are diminishing as networking technologies extend the reach of hospital infrastructure and provide on-demand mobile access to medical multimedia data. However, due to legacy and proprietary software, storage and decommissioning costs, and the price of centralization and redevelopment, it remains complex, expensive, and often unfeasible for hospitals to deploy their infrastructure for online and mobile use. This paper proposes the SparkMed data integration framework for mobile healthcare (m-Health), which significantly benefits from the enhanced network capabilities of LTE wireless technologies, by enabling a wide range of heterogeneous medical software and database systems (such as the picture archiving and communication systems, hospital information system, and reporting systems) to be dynamically integrated into a cloud-like peer-to-peer multimedia data store. Our framework allows medical data applications to share data with mobile hosts over a wireless network (such as WiFi and 3G), by binding to existing software systems and deploying them as m-Health applications. SparkMed integrates techniques from multimedia streaming, rich Internet applications (RIA), and remote procedure call (RPC) frameworks to construct a Self-managing, Pervasive Automated netwoRK for Medical Enterprise Data (SparkMed). Further, it is resilient to failure, and able to use mobile and handheld devices to maintain its network, even in the absence of dedicated server devices. We have developed a prototype of the SparkMed framework for evaluation on a radiological workflow simulation, which uses SparkMed to deploy a radiological image viewer as an m-Health application for telemedical use by radiologists and stakeholders. We have evaluated our prototype using ten devices over WiFi and 3G, verifying that our framework meets its two main objectives: 1) interactive delivery of medical multimedia data to mobile devices; and 2) attaching to non-networked medical software processes without significantly impacting their performance. Consistent response times of under 500 ms and graphical frame rates of over 5 frames per second were observed under intended usage conditions. Further, overhead measurements displayed linear scalability and low resource requirements.",,2009,"Conference Chair-Campbell, Roy H.; Program Chair-Bacon, Jean M. & Program Chair-Cooper, Brian F.",http://dl.acm.org/citation.cfm?id=1656980,"Springer-Verlag New York, Inc.",DI and Cloud
